Vehicle_Class,Compact Cars,Compact Cars,Compact Cars,Large Cars,Large Cars,Large Cars,Midsize Cars,Midsize Cars,Midsize Cars,Midsize Station Wagons,Minicompact Cars,Minivan,Minivan,Small Pickup Trucks,Small Sport Utility Vehicle,Small Sport Utility Vehicle,Small Sport Utility Vehicle,Small Station Wagons,Small Station Wagons,Small Station Wagons,Standard Pickup Trucks,Standard Pickup Trucks,Standard Sport Utility Vehicle,Standard Sport Utility Vehicle,Standard Sport Utility Vehicle,Subcompact Cars,Subcompact Cars,Subcompact Cars,Two Seaters,Two Seaters,Two Seaters,Van
Drivetrain_Type,BEV,ICE,PHEV,BEV,ICE,PHEV,BEV,ICE,PHEV,ICE,ICE,ICE,PHEV,ICE,BEV,ICE,PHEV,BEV,ICE,PHEV,BEV,ICE,BEV,ICE,PHEV,BEV,ICE,PHEV,BEV,ICE,PHEV,ICE
County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tioga County,0.0,187.0,4.0,0.0,117.0,0.0,3.0,531.0,4.0,30.0,6.0,141.0,0.0,63.0,2.0,781.0,5.0,2.0,100.0,0.0,1.0,912.0,0.0,222.0,0.0,0.0,112.0,0.0,0.0,31.0,0.0,3.0
Tompkins County,5.0,393.0,21.0,2.0,138.0,0.0,18.0,855.0,28.0,74.0,12.0,197.0,5.0,92.0,7.0,1420.0,25.0,18.0,282.0,1.0,2.0,769.0,3.0,277.0,0.0,0.0,166.0,1.0,0.0,43.0,0.0,11.0
Ulster County,2.0,994.0,8.0,10.0,395.0,0.0,39.0,2273.0,44.0,177.0,38.0,365.0,1.0,278.0,33.0,3165.0,24.0,18.0,615.0,2.0,8.0,2262.0,5.0,863.0,2.0,2.0,595.0,0.0,0.0,134.0,0.0,42.0
Unknown,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Warren County,1.0,251.0,2.0,4.0,140.0,0.0,6.0,661.0,14.0,44.0,9.0,138.0,1.0,137.0,9.0,1321.0,11.0,5.0,174.0,0.0,3.0,1040.0,3.0,366.0,1.0,1.0,114.0,0.0,0.0,48.0,0.0,7.0
Washington County,0.0,206.0,3.0,0.0,118.0,0.0,3.0,595.0,7.0,32.0,6.0,129.0,0.0,130.0,1.0,1077.0,4.0,2.0,145.0,0.0,1.0,1236.0,0.0,247.0,0.0,0.0,129.0,0.0,0.0,30.0,0.0,10.0
Wayne County,0.0,328.0,4.0,0.0,251.0,0.0,2.0,988.0,12.0,46.0,10.0,273.0,1.0,118.0,3.0,1631.0,6.0,3.0,188.0,0.0,0.0,1633.0,1.0,482.0,0.0,0.0,206.0,0.0,0.0,70.0,0.0,21.0
Westchester County,7.0,4463.0,31.0,124.0,1947.0,5.0,343.0,9976.0,125.0,492.0,242.0,1624.0,13.0,409.0,328.0,16447.0,157.0,32.0,2541.0,2.0,15.0,3284.0,78.0,6703.0,55.0,13.0,2494.0,3.0,0.0,621.0,0.0,111.0
Wyoming County,0.0,104.0,1.0,2.0,73.0,0.0,0.0,279.0,3.0,19.0,5.0,104.0,0.0,44.0,1.0,661.0,4.0,0.0,65.0,0.0,0.0,847.0,0.0,206.0,0.0,0.0,59.0,0.0,0.0,25.0,0.0,2.0
Yates County,0.0,69.0,1.0,0.0,47.0,0.0,0.0,172.0,4.0,12.0,4.0,56.0,0.0,28.0,1.0,319.0,1.0,2.0,29.0,0.0,2.0,469.0,0.0,95.0,0.0,0.0,46.0,0.0,0.0,17.0,0.0,3.0
